data,precip,maxima,minima,horas_insol,temp_media,um_relativa,vel_vento
30/05/1961,6.7,17.4,13.6,6.3,12.1,84.0,1.4
31/05/1961,6.2,22.2,20.5,14.8,20.3,57.6,2.4
01/06/1961,7.1,32.8,10.2,11.7,20.6,80.5,2.4
02/06/1961,0.0,23.8,12.4,4.1,20.2,72.6,3.0
03/06/1961,6.0,18.3,16.8,17.6,14.5,58.2,3.6
04/06/1961,6.6,29.2,17.5,5.8,15.0,79.3,2.2
05/06/1961,0.0,29.1,10.6,11.5,22.8,73.2,1.4
06/06/1961,22.0,21.5,24.7,8.5,17.5,80.7,3.1
07/06/1961,8.4,22.1,6.6,7.2,22.5,70.5,0.0
08/06/1961,0.0,22.6,15.9,11.2,16.6,60.3,0.5
09/06/1961,10.2,23.9,16.6,6.6,33.6,74.5,0.5
10/06/1961,0.0,14.3,7.2,5.7,18.2,66.6,1.0
11/06/1961,11.4,24.1,22.1,5.8,25.4,55.7,0.0
12/06/1961,15.1,35.3,12.1,1.5,31.2,85.6,3.5
13/06/1961,0.0,20.0,16.1,10.2,25.0,69.5,1.6
14/06/1961,13.2,21.8,17.2,3.4,17.9,74.7,0.0
15/06/1961,7.8,18.4,8.6,6.8,19.1,51.9,0.3
16/06/1961,11.8,28.6,10.5,6.1,3.4,71.5,2.6
17/06/1961,22.3,32.0,23.2,8.4,8.1,83.9,0.0
18/06/1961,1.4,31.9,15.3,6.0,19.5,53.8,2.2
19/06/1961,0.0,18.0,2.6,5.0,16.7,74.7,2.0
20/06/1961,0.0,28.0,14.2,7.7,14.1,68.4,1.9
21/06/1961,0.0,33.3,15.5,7.3,19.8,84.3,2.1
22/06/1961,3.0,28.0,16.7,1.8,16.7,70.9,0.4
23/06/1961,7.1,27.9,6.0,5.6,14.8,81.4,1.3
24/06/1961,6.5,22.4,15.5,11.0,24.5,83.1,0.2
25/06/1961,11.8,26.4,11.6,15.7,13.3,72.5,0.9
26/06/1961,3.9,32.2,16.7,0.0,23.0,81.6,1.1
27/06/1961,18.0,27.0,18.1,9.3,20.8,73.4,1.2
28/06/1961,1.2,18.0,17.6,6.4,26.3,80.0,1.5
29/06/1961,30.3,22.5,22.5,3.7,17.3,65.8,2.5
30/06/1961,9.9,32.0,26.3,4.3,13.0,65.8,1.9
01/07/1961,0.0,27.0,10.2,2.3,16.5,63.4,1.5
02/07/1961,0.0,25.8,13.8,0.7,19.4,79.1,0.7
03/07/1961,8.5,22.0,19.3,7.5,24.4,89.5,0.8
04/07/1961,1.6,31.9,15.0,13.0,23.5,86.8,2.6
05/07/1961,10.7,34.6,2.5,7.4,18.5,73.6,1.6
06/07/1961,8.4,32.3,14.7,6.7,19.2,74.4,1.8
07/07/1961,3.0,33.4,21.6,3.6,23.0,85.2,4.2
08/07/1961,0.0,23.1,8.9,2.4,24.8,90.7,0.3
09/07/1961,0.0,22.3,16.7,6.1,21.2,52.5,1.1
10/07/1961,0.0,24.2,6.4,2.0,21.0,70.6,4.1
11/07/1961,12.1,25.4,19.9,10.4,20.8,77.9,1.8
12/07/1961,5.9,33.3,16.8,3.7,20.9,75.8,2.0
13/07/1961,0.0,31.8,12.9,2.7,20.9,75.4,5.0
14/07/1961,5.5,28.2,13.6,14.9,14.7,97.2,5.7
15/07/1961,7.5,17.0,8.4,11.1,11.7,67.0,3.9
16/07/1961,0.0,15.5,20.5,1.3,15.3,69.4,1.4
17/07/1961,5.3,26.5,11.8,2.5,17.3,65.6,2.5
18/07/1961,4.3,30.2,18.1,5.3,22.8,58.8,0.0
19/07/1961,0.0,24.7,11.0,5.4,18.3,68.9,2.2
20/07/1961,7.3,36.1,26.3,4.2,20.6,65.7,2.5
21/07/1961,9.2,18.9,23.2,11.3,19.9,73.0,1.7
22/07/1961,14.3,18.2,25.7,6.8,22.0,85.8,2.1
23/07/1961,14.1,21.3,26.3,5.9,17.5,68.7,4.7
24/07/1961,0.0,21.1,12.6,3.6,16.0,85.4,1.6
25/07/1961,0.0,28.1,11.4,1.9,11.5,86.4,2.3
26/07/1961,8.8,22.7,25.5,3.6,21.2,75.1,2.3
27/07/1961,8.8,16.3,15.0,2.6,4.9,81.7,3.1
28/07/1961,8.8,30.2,19.7,1.1,20.4,85.4,2.0
29/07/1961,41.4,15.1,12.7,10.3,23.9,72.3,1.8
30/07/1961,9.3,19.0,12.7,9.7,18.9,73.9,3.6
31/07/1961,14.9,15.9,19.7,4.5,21.4,80.3,1.7
01/08/1961,13.1,26.3,6.1,11.2,17.5,81.3,1.5
02/08/1961,10.1,26.2,19.5,8.3,19.6,75.6,2.4
03/08/1961,0.7,36.1,18.2,1.8,18.8,84.5,2.0
04/08/1961,11.2,30.3,13.1,0.3,23.0,74.2,1.9
05/08/1961,0.0,33.4,15.8,7.2,18.2,82.3,3.3
06/08/1961,1.4,26.8,16.5,7.9,13.8,80.4,1.1
07/08/1961,0.0,19.6,16.8,0.9,21.2,69.3,0.8
08/08/1961,4.6,25.9,19.0,3.9,19.0,91.3,2.8
09/08/1961,26.4,28.5,11.7,9.4,16.2,86.5,3.1
10/08/1961,0.0,29.1,28.7,12.2,22.8,64.7,2.3
11/08/1961,10.5,22.4,14.7,6.4,29.4,83.6,0.4
12/08/1961,0.0,27.9,15.0,6.2,21.9,72.7,5.5
13/08/1961,0.0,19.8,25.1,4.2,23.5,84.7,2.8
14/08/1961,14.4,19.2,6.8,11.9,20.3,88.2,2.7
15/08/1961,4.4,18.8,25.0,8.2,26.6,82.3,0.3
16/08/1961,0.0,25.3,16.1,2.7,22.8,89.2,1.4
17/08/1961,0.0,18.4,13.1,9.1,16.9,82.5,2.9
18/08/1961,10.4,22.7,10.2,3.3,22.5,71.6,3.0
19/08/1961,0.0,30.3,9.5,2.3,21.7,53.1,1.3
20/08/1961,5.9,19.3,14.0,4.3,17.7,63.5,5.0
21/08/1961,4.2,22.3,17.0,2.6,25.7,69.6,2.8
22/08/1961,0.0,25.5,18.7,2.5,13.4,81.6,1.2
23/08/1961,24.7,26.5,16.9,0.5,21.4,62.2,1.1
24/08/1961,10.0,22.3,13.2,3.3,17.5,60.9,0.9
25/08/1961,0.0,29.6,22.1,3.9,11.7,71.3,0.5
26/08/1961,5.6,28.5,28.6,0.7,20.2,72.6,2.0
27/08/1961,0.0,31.6,22.9,8.1,17.6,77.1,2.5
28/08/1961,12.1,24.7,13.9,0.0,16.7,89.9,4.4
29/08/1961,0.0,22.2,18.1,4.5,14.4,70.4,3.2
30/08/1961,2.6,21.2,18.4,8.6,29.4,74.3,3.9
31/08/1961,8.7,26.9,23.4,10.5,7.5,85.6,1.3
01/09/1961,12.2,23.0,14.0,3.8,9.0,65.9,2.6
02/09/1961,0.0,21.9,11.0,10.0,22.2,88.7,2.1
03/09/1961,0.5,22.6,21.1,4.6,21.9,65.0,0.3
04/09/1961,0.0,21.2,17.6,14.9,12.8,71.2,3.0
05/09/1961,0.0,26.3,10.3,0.3,16.7,68.0,3.8
06/09/1961,21.0,17.1,19.1,2.1,22.7,93.2,1.2
07/09/1961,7.7,26.9,24.6,6.7,18.2,77.2,3.9
08/09/1961,0.0,29.0,12.3,1.1,23.5,73.9,2.8
09/09/1961,12.7,21.8,11.3,3.2,19.4,62.9,1.7
10/09/1961,24.5,36.1,15.8,7.8,17.0,88.8,3.1
11/09/1961,13.8,25.2,19.0,6.8,12.4,85.0,4.3
12/09/1961,0.0,16.2,15.3,5.9,19.3,68.6,4.9
13/09/1961,0.0,23.5,21.2,5.9,16.4,76.3,2.4
14/09/1961,16.1,25.5,16.9,0.0,24.5,80.4,3.8
15/09/1961,0.0,27.7,20.6,6.6,24.3,79.7,4.5
16/09/1961,8.1,23.7,12.2,3.5,18.4,70.7,2.2
17/09/1961,11.3,19.4,9.7,4.6,19.4,92.7,2.9
18/09/1961,0.0,18.9,14.0,0.0,17.8,73.6,0.0
19/09/1961,3.2,21.4,9.1,8.7,17.0,74.0,1.0
20/09/1961,0.0,21.9,17.6,8.2,14.3,86.8,2.1
21/09/1961,0.0,18.6,5.9,1.4,19.9,84.2,0.0
22/09/1961,1.3,20.9,13.5,6.7,18.2,86.1,1.2
23/09/1961,0.0,28.9,14.3,12.5,26.9,96.9,4.0
24/09/1961,19.7,34.5,10.6,6.6,17.9,68.8,2.1
25/09/1961,0.0,29.4,14.2,0.0,31.4,77.8,4.1
26/09/1961,0.0,32.6,15.7,3.8,28.4,67.3,3.0
27/09/1961,5.0,30.7,21.8,6.5,16.1,70.3,0.0
28/09/1961,17.8,29.9,10.6,14.4,19.2,67.4,0.9
29/09/1961,0.0,23.2,17.4,1.3,12.0,75.3,2.1
30/09/1961,15.1,25.9,18.3,5.4,17.5,85.1,2.8
01/10/1961,3.9,22.7,15.6,1.8,21.4,72.2,2.6
02/10/1961,0.0,23.9,13.2,9.5,20.6,77.8,1.6
03/10/1961,8.3,25.5,10.1,4.6,15.6,66.4,1.7
04/10/1961,5.7,29.2,24.8,0.0,19.2,68.0,2.9
05/10/1961,0.0,27.5,16.0,4.5,22.0,61.1,0.0
06/10/1961,4.4,24.2,14.1,5.6,19.0,72.3,0.6
07/10/1961,0.0,25.4,25.9,7.5,26.2,74.4,2.8
08/10/1961,4.9,27.6,16.7,6.7,19.2,75.6,1.3
09/10/1961,10.2,28.9,28.0,8.6,11.8,67.8,2.6
10/10/1961,19.3,16.5,8.8,5.5,11.7,79.6,2.3
11/10/1961,0.0,19.0,14.5,6.4,17.7,73.9,0.0
12/10/1961,24.6,31.5,9.0,6.1,13.8,66.9,0.9
13/10/1961,0.0,24.8,15.1,4.4,11.7,77.3,3.5
14/10/1961,2.3,22.7,15.0,8.3,17.5,76.9,1.0
15/10/1961,9.5,23.6,13.4,9.4,23.5,74.6,4.1
16/10/1961,6.5,23.6,15.9,5.8,17.3,88.2,0.6
17/10/1961,0.0,28.3,13.7,4.1,21.2,80.4,4.7
18/10/1961,1.7,18.8,15.1,1.8,26.6,100.0,1.6
19/10/1961,0.0,25.3,12.0,7.4,21.5,71.3,3.2
20/10/1961,0.0,26.5,22.6,2.1,15.0,77.0,3.1
21/10/1961,12.1,27.4,10.3,6.6,19.5,63.5,4.4
22/10/1961,7.2,26.4,16.7,6.5,17.4,70.7,2.4
23/10/1961,0.0,28.1,9.9,10.2,22.1,55.3,3.1
24/10/1961,12.5,21.9,11.6,11.5,20.5,81.5,1.4
25/10/1961,6.8,19.8,12.1,0.0,18.2,86.6,1.8
26/10/1961,11.7,39.2,15.0,5.2,20.0,73.1,1.2
27/10/1961,9.9,23.4,16.5,0.0,18.0,57.9,1.4
28/10/1961,0.0,24.1,10.3,10.6,11.8,99.8,0.0
29/10/1961,0.0,29.0,13.7,5.9,10.1,71.4,1.8
30/10/1961,11.1,34.2,10.9,10.6,23.9,70.9,2.1
31/10/1961,9.7,22.0,10.6,7.0,24.6,84.6,0.0
01/11/1961,3.6,19.4,21.1,0.7,20.5,65.4,3.5
02/11/1961,4.9,18.0,8.9,2.2,24.2,68.2,0.9
03/11/1961,16.2,34.2,16.0,5.5,28.0,83.7,2.1
04/11/1961,0.0,19.2,23.9,8.3,17.4,90.5,3.3
05/11/1961,9.1,25.0,21.5,6.2,16.0,73.3,1.5
06/11/1961,1.8,19.5,17.7,6.7,23.2,60.5,2.3
07/11/1961,1.6,16.9,15.6,4.6,26.4,86.5,2.1
08/11/1961,14.5,23.5,19.2,10.5,16.3,50.4,2.4
09/11/1961,11.8,19.8,17.4,6.6,26.8,81.6,2.3
10/11/1961,11.7,21.2,22.5,6.2,17.7,61.5,1.9
11/11/1961,16.5,36.6,15.0,7.2,20.7,72.2,0.7
12/11/1961,4.0,27.6,20.5,4.4,17.8,79.6,4.0
13/11/1961,10.4,30.4,14.1,4.6,20.8,65.5,2.3
14/11/1961,0.7,29.8,24.8,7.9,14.4,71.2,1.5
15/11/1961,6.9,24.6,14.9,9.1,24.6,71.4,0.0
16/11/1961,2.5,22.6,7.8,9.5,11.6,74.9,3.6
17/11/1961,4.7,26.6,16.0,5.3,15.0,78.1,0.5
18/11/1961,9.6,26.1,19.4,6.5,25.9,76.2,2.8
19/11/1961,0.0,21.9,23.5,3.6,30.7,76.5,1.8
20/11/1961,24.2,25.9,10.8,9.1,17.0,88.0,3.1
21/11/1961,0.0,21.1,7.2,2.3,27.1,92.1,4.4
22/11/1961,0.0,24.2,18.1,6.9,25.9,81.4,0.6
23/11/1961,15.1,23.2,17.9,9.5,21.6,79.3,0.4
24/11/1961,11.5,17.9,8.8,6.5,17.2,59.4,2.7
25/11/1961,9.9,11.7,14.1,7.2,26.5,49.9,3.9
26/11/1961,9.9,19.8,14.3,4.9,18.7,72.4,1.6
27/11/1961,3.6,35.4,19.6,0.0,21.9,93.1,2.1
28/11/1961,0.0,23.4,13.7,3.4,9.0,73.4,0.0
29/11/1961,4.5,29.6,13.6,6.2,17.6,84.1,3.6
30/11/1961,0.0,13.0,16.2,3.3,16.6,74.0,2.2
01/12/1961,13.3,19.4,9.0,7.9,20.2,78.0,3.6
02/12/1961,2.3,17.4,24.9,0.3,18.1,69.2,2.5
03/12/1961,0.0,24.0,20.2,0.0,17.1,84.5,1.8
04/12/1961,0.6,39.0,12.3,8.8,19.6,76.5,3.6
05/12/1961,7.8,27.8,10.3,4.8,15.8,67.6,2.3
06/12/1961,0.0,34.8,10.6,7.4,11.5,58.8,0.1
07/12/1961,0.0,23.7,18.5,4.0,17.4,84.6,3.4
08/12/1961,6.1,32.9,10.8,8.2,18.5,80.3,4.2
09/12/1961,6.2,37.0,14.5,11.4,23.3,78.5,1.0
10/12/1961,0.0,24.5,7.5,11.6,18.6,66.6,2.0
11/12/1961,0.0,22.1,18.3,3.5,21.5,84.6,5.1
12/12/1961,6.0,17.6,18.5,4.4,16.0,68.3,1.6
13/12/1961,0.0,23.4,14.8,6.7,19.5,86.2,0.5
14/12/1961,0.0,25.6,16.6,13.4,11.1,65.9,1.2
15/12/1961,0.0,36.7,19.5,1.5,16.5,62.6,1.6
16/12/1961,1.7,17.7,16.5,1.5,6.3,76.0,3.8
17/12/1961,6.8,25.5,19.4,9.4,13.8,83.5,1.4
18/12/1961,18.2,14.8,10.0,3.4,13.3,84.9,3.3
19/12/1961,12.1,22.7,17.5,8.6,22.6,78.3,2.6
20/12/1961,2.2,26.9,16.6,3.7,21.3,88.9,2.2
21/12/1961,3.6,28.1,21.5,7.4,24.8,79.2,2.1
22/12/1961,0.0,28.5,15.8,4.0,13.1,77.2,0.0
23/12/1961,3.6,27.4,15.2,2.1,23.6,50.5,2.8
24/12/1961,0.9,28.4,13.0,6.6,16.8,64.8,3.8
25/12/1961,6.9,25.4,22.9,1.2,28.4,87.9,1.2
26/12/1961,0.0,19.1,4.3,7.8,18.7,65.8,3.9
27/12/1961,8.8,14.6,18.1,5.1,27.5,73.1,1.5
28/12/1961,18.7,22.0,15.6,0.7,33.7,71.8,2.0
29/12/1961,2.7,24.4,14.8,7.2,21.7,64.8,2.5
30/12/1961,7.7,32.3,14.1,7.1,28.3,69.4,4.2
31/12/1961,10.5,24.6,15.4,0.0,18.0,75.7,0.0
01/01/1962,0.0,24.0,18.0,5.8,26.0,63.3,3.1
02/01/1962,5.9,27.3,11.8,6.1,19.3,72.3,2.6
03/01/1962,3.9,23.6,16.3,6.4,22.4,68.5,3.0
04/01/1962,4.7,29.8,17.4,0.0,22.1,77.3,1.9
05/01/1962,0.0,36.4,11.0,7.4,18.7,86.0,1.6
06/01/1962,4.0,37.6,18.1,8.0,12.3,91.3,5.2
07/01/1962,8.6,25.7,17.4,2.3,12.9,77.2,1.1
08/01/1962,17.9,27.1,11.8,0.5,25.3,65.1,2.1
09/01/1962,13.1,34.1,9.9,2.2,20.5,91.8,5.2
10/01/1962,24.8,24.3,11.7,6.5,24.4,80.5,3.5
11/01/1962,0.0,29.0,16.3,1.1,17.1,70.0,0.0
12/01/1962,12.3,18.6,15.3,0.7,17.9,72.5,0.3
13/01/1962,5.6,23.4,22.4,14.3,17.8,68.9,3.6
14/01/1962,25.2,31.7,13.9,6.0,11.4,84.2,2.2
15/01/1962,0.0,21.0,11.4,4.8,17.9,87.0,6.0
16/01/1962,0.0,24.4,18.8,3.4,18.0,79.9,2.4
17/01/1962,0.0,16.1,10.9,4.4,19.5,88.3,3.2
18/01/1962,0.0,36.6,11.8,13.1,18.4,75.5,2.7
19/01/1962,0.0,32.3,11.9,9.2,26.3,100.0,4.0
20/01/1962,0.0,26.2,1.2,15.4,16.7,74.8,5.4
21/01/1962,5.2,28.0,18.4,7.6,23.7,54.9,2.6
22/01/1962,7.1,27.4,20.2,2.3,21.1,86.3,4.5
23/01/1962,22.1,33.0,20.1,7.1,19.7,71.8,3.2
24/01/1962,13.0,22.2,24.8,8.2,23.3,88.0,2.5
25/01/1962,0.0,29.3,23.0,8.4,17.9,79.4,2.2
26/01/1962,0.0,31.3,14.0,4.3,17.0,68.7,0.2
27/01/1962,8.6,32.1,21.0,13.1,17.8,75.1,4.8
28/01/1962,0.0,12.2,15.2,1.0,20.6,60.1,2.3
29/01/1962,21.7,21.7,13.6,7.4,10.6,67.8,0.6
30/01/1962,15.3,19.3,12.0,4.9,18.8,79.8,1.3
31/01/1962,0.0,26.0,14.4,3.0,23.0,84.6,0.5
01/02/1962,0.0,13.6,17.3,7.0,19.5,84.9,3.0
02/02/1962,17.0,13.4,23.3,11.0,20.2,69.4,4.4
